Nome,Categoria,Status,Duracao,Preco,Sessoes,Desconto_Max,Recorrencia,Qtd_FAQs,Servicos_Vinculados,Criado_em,Atualizado_em,Descricao
DRENAGEM LINFÁTICA,Estética Corporal,Ativo,1h,200.00,,,,0,,25/02/2026,25/02/2026,
ENDOLASER FACIAL,(sem categoria),Ativo,1h 30min,1497.90,,,,0,,22/06/2026,22/06/2026,
ENDOSHAPE ABDOME TOTAL,Estética Corporal,Ativo,3h,2497.90,,,,9,,23/02/2026,23/02/2026,🔥 ABDOME TOTAL 💊 CÁPSULA REDUTORA + CINTA MODELADORA ✅ TAPPING INCLUSO ✅ BIOIMPEDÂNCIA
ENDOSHAPE HD,(sem categoria),INATIVO,3h,3997.00,,,,0,,04/07/2026,04/07/2026,"SESSÃO ÚNICA 🔥 ABDOME TOTAL, FLANCOS E INFERIOR DAS COSTAS 💊 CÁPSULA REDUTORA + CINTA MODELADORA ✅ TAPPING INCLUSO ✅ BIOIMPEDÂNCIA ®️"
ENDOSHAPE HD 360º,Estética Corporal,Ativo,3h,3997.90,,"10% (R$ 3.598,11)",,9,,12/02/2026,12/02/2026,"CINTURA, FLANCOS E COSTAS INFERIOR 👉 SESSÃO ÚNICA 🔥 SESSÃO DE ENZIMAS 💊 CÁPSULA REDUTORA + CINTA MODELADORA ✅ TAPPING INCLUSO ®️ ENDOSHAPE HD: R$ 3997.90"
ENDOSHAPE INFRA,Estética Corporal,Ativo,1h 30min,1997.00,,,,8,AVALIAÇÃO ENDOLASER (manutenção),23/02/2026,23/02/2026,"*ENDOLASER INFRA ( POCHETE )* _*REGIÃO INFERIOR DO ABDOME*_ 👉 Minimamente Invasivo. 🔥 Definição sem Flacidez. ✅ + Tapping Incluso. ®️ *ENDOLASER INFRA* : *R$ 1.497,90*"
FIOS DE PDO,Estética Facial,Ativo,1h,180.00,,,,0,,25/02/2026,25/02/2026,
JATO DE PLASMA,Estética Corporal,Ativo,1h,997.90,,,,0,,23/04/2026,23/04/2026,
LIMPEZA DE PELE,Estética Facial,Ativo,1h,200.00,,,,0,,10/03/2026,10/03/2026,
Microagulhamento,(sem categoria),Ativo,30min,200.00,,,,0,,22/06/2026,22/06/2026,
Microvasos,(sem categoria),Ativo,1h,300.00,1,,1 mês,0,,08/05/2026,08/05/2026,
PÓS-CRIO,Estética Corporal,Ativo,1h,497.90,3,,,0,,24/02/2026,24/02/2026,
PÓS-ENDOLASER,Estética Corporal,Ativo,1h,497.90,4,,,0,,25/02/2026,25/02/2026,
PRÉ-CRIO,Estética Corporal,Ativo,1h,200.00,,,,0,CRIO FULL 360 (manutenção),16/06/2026,16/06/2026,
PREENCHIMENTO COM ÁCIDO HIALURÔNICO,Estética Facial,Ativo,1h,797.90,,,10 meses,0,,27/02/2026,27/02/2026,
PROTOCOLL - PEELING QUÍMICO,Estética Facial,Ativo,30min,500.00,,,,0,,25/02/2026,25/02/2026,
REAVALIAÇÃO CORPORAL,Estética Corporal,Ativo,30min,0.00,,,,0,,25/02/2026,25/02/2026,
REAVALIAÇÃO FACIAL,Estética Facial,Ativo,30min,0.00,,,,0,,25/02/2026,25/02/2026,
REVITALIZAÇÃO FACIAL,Estética Facial,INATIVO,1h,0.00,,,,0,,08/05/2026,08/05/2026,
